1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8300000059D62221
Is Mission Active?  true
Mission Start:  Thu Aug 24 06:06:00 PDT 2023
Sample Rate:  Every 2 minute(s)
Number of Mission Samples:  18942
Total Samples:  89892
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/24/23 6:06:00 AM,C,13.5
8/24/23 6:08:00 AM,C,13.5
8/24/23 6:10:00 AM,C,13.5
8/24/23 6:12:00 AM,C,13.5
8/24/23 6:14:00 AM,C,13.5
8/24/23 6:16:00 AM,C,13.5
8/24/23 6:18:00 AM,C,13.5
8/24/23 6:20:00 AM,C,13
8/24/23 6:22:00 AM,C,13
8/24/23 6:24:00 AM,C,13
8/24/23 6:26:00 AM,C,13
8/24/23 6:28:00 AM,C,13
8/24/23 6:30:00 AM,C,13
8/24/23 6:32:00 AM,C,13
8/24/23 6:34:00 AM,C,13
8/24/23 6:36:00 AM,C,13
8/24/23 6:38:00 AM,C,13
8/24/23 6:40:00 AM,C,13
8/24/23 6:42:00 AM,C,13
8/24/23 6:44:00 AM,C,13
8/24/23 6:46:00 AM,C,13
8/24/23 6:48:00 AM,C,13
8/24/23 6:50:00 AM,C,13
8/24/23 6:52:00 AM,C,14
8/24/23 6:54:00 AM,C,15
8/24/23 6:56:00 AM,C,15.5
8/24/23 6:58:00 AM,C,16.5
8/24/23 7:00:00 AM,C,17
8/24/23 7:02:00 AM,C,17.5
8/24/23 7:04:00 AM,C,18
8/24/23 7:06:00 AM,C,18.5
8/24/23 7:08:00 AM,C,19
8/24/23 7:10:00 AM,C,19
8/24/23 7:12:00 AM,C,19.5
8/24/23 7:14:00 AM,C,20
8/24/23 7:16:00 AM,C,20.5
8/24/23 7:18:00 AM,C,21
8/24/23 7:20:00 AM,C,21
8/24/23 7:22:00 AM,C,21
8/24/23 7:24:00 AM,C,21.5
8/24/23 7:26:00 AM,C,22
8/24/23 7:28:00 AM,C,22.5
8/24/23 7:30:00 AM,C,22.5
8/24/23 7:32:00 AM,C,23
8/24/23 7:34:00 AM,C,23
8/24/23 7:36:00 AM,C,23.5
8/24/23 7:38:00 AM,C,23.5
8/24/23 7:40:00 AM,C,24
8/24/23 7:42:00 AM,C,24
8/24/23 7:44:00 AM,C,24
8/24/23 7:46:00 AM,C,24
8/24/23 7:48:00 AM,C,24.5
8/24/23 7:50:00 AM,C,24.5
8/24/23 7:52:00 AM,C,25
8/24/23 7:54:00 AM,C,25
8/24/23 7:56:00 AM,C,25
8/24/23 7:58:00 AM,C,25.5
8/24/23 8:00:00 AM,C,25.5
8/24/23 8:02:00 AM,C,25.5
8/24/23 8:04:00 AM,C,25.5
8/24/23 8:06:00 AM,C,26
8/24/23 8:08:00 AM,C,26.5
8/24/23 8:10:00 AM,C,26.5
8/24/23 8:12:00 AM,C,27
8/24/23 8:14:00 AM,C,27.5
8/24/23 8:16:00 AM,C,28
8/24/23 8:18:00 AM,C,28.5
8/24/23 8:20:00 AM,C,29
8/24/23 8:22:00 AM,C,29.5
8/24/23 8:24:00 AM,C,29.5
8/24/23 8:26:00 AM,C,29.5
8/24/23 8:28:00 AM,C,29.5
8/24/23 8:30:00 AM,C,30
8/24/23 8:32:00 AM,C,30
8/24/23 8:34:00 AM,C,30
8/24/23 8:36:00 AM,C,30
8/24/23 8:38:00 AM,C,30
8/24/23 8:40:00 AM,C,30.5
8/24/23 8:42:00 AM,C,31
8/24/23 8:44:00 AM,C,31
8/24/23 8:46:00 AM,C,31.5
8/24/23 8:48:00 AM,C,31.5
8/24/23 8:50:00 AM,C,31.5
8/24/23 8:52:00 AM,C,31.5
8/24/23 8:54:00 AM,C,32
8/24/23 8:56:00 AM,C,32.5
8/24/23 8:58:00 AM,C,32.5
8/24/23 9:00:00 AM,C,33
8/24/23 9:02:00 AM,C,33
8/24/23 9:04:00 AM,C,33.5
8/24/23 9:06:00 AM,C,33.5
8/24/23 9:08:00 AM,C,34
8/24/23 9:10:00 AM,C,34.5
8/24/23 9:12:00 AM,C,34.5
8/24/23 9:14:00 AM,C,35
8/24/23 9:16:00 AM,C,35
8/24/23 9:18:00 AM,C,35.5
8/24/23 9:20:00 AM,C,35.5
8/24/23 9:22:00 AM,C,35.5
8/24/23 9:24:00 AM,C,36
8/24/23 9:26:00 AM,C,36
8/24/23 9:28:00 AM,C,36.5
8/24/23 9:30:00 AM,C,36.5
8/24/23 9:32:00 AM,C,36.5
8/24/23 9:34:00 AM,C,36
8/24/23 9:36:00 AM,C,36.5
8/24/23 9:38:00 AM,C,36.5
8/24/23 9:40:00 AM,C,37
8/24/23 9:42:00 AM,C,37
8/24/23 9:44:00 AM,C,37.5
8/24/23 9:46:00 AM,C,38
8/24/23 9:48:00 AM,C,38.5
8/24/23 9:50:00 AM,C,38.5
8/24/23 9:52:00 AM,C,38.5
8/24/23 9:54:00 AM,C,39
8/24/23 9:56:00 AM,C,39
8/24/23 9:58:00 AM,C,39.5
8/24/23 10:00:00 AM,C,40
8/24/23 10:02:00 AM,C,40.5
8/24/23 10:04:00 AM,C,40.5
8/24/23 10:06:00 AM,C,40.5
8/24/23 10:08:00 AM,C,41
8/24/23 10:10:00 AM,C,41
8/24/23 10:12:00 AM,C,41.5
8/24/23 10:14:00 AM,C,42
8/24/23 10:16:00 AM,C,42.5
8/24/23 10:18:00 AM,C,42.5
8/24/23 10:20:00 AM,C,43
8/24/23 10:22:00 AM,C,43.5
8/24/23 10:24:00 AM,C,43.5
8/24/23 10:26:00 AM,C,44
8/24/23 10:28:00 AM,C,44.5
8/24/23 10:30:00 AM,C,45
8/24/23 10:32:00 AM,C,45.5
8/24/23 10:34:00 AM,C,45.5
8/24/23 10:36:00 AM,C,45
8/24/23 10:38:00 AM,C,44.5
8/24/23 10:40:00 AM,C,44
8/24/23 10:42:00 AM,C,43.5
8/24/23 10:44:00 AM,C,42.5
8/24/23 10:46:00 AM,C,41.5
8/24/23 10:48:00 AM,C,40
8/24/23 10:50:00 AM,C,39
8/24/23 10:52:00 AM,C,39
8/24/23 10:54:00 AM,C,39
8/24/23 10:56:00 AM,C,39
8/24/23 10:58:00 AM,C,39.5
8/24/23 11:00:00 AM,C,39.5
8/24/23 11:02:00 AM,C,39
8/24/23 11:04:00 AM,C,39
8/24/23 11:06:00 AM,C,38.5
8/24/23 11:08:00 AM,C,38.5
8/24/23 11:10:00 AM,C,38.5
8/24/23 11:12:00 AM,C,38.5
8/24/23 11:14:00 AM,C,39
8/24/23 11:16:00 AM,C,39
8/24/23 11:18:00 AM,C,39
8/24/23 11:20:00 AM,C,39.5
8/24/23 11:22:00 AM,C,40
8/24/23 11:24:00 AM,C,40.5
8/24/23 11:26:00 AM,C,40.5
8/24/23 11:28:00 AM,C,40.5
8/24/23 11:30:00 AM,C,41
8/24/23 11:32:00 AM,C,41
8/24/23 11:34:00 AM,C,41
8/24/23 11:36:00 AM,C,40.5
8/24/23 11:38:00 AM,C,40
8/24/23 11:40:00 AM,C,40
8/24/23 11:42:00 AM,C,40
8/24/23 11:44:00 AM,C,40
8/24/23 11:46:00 AM,C,40
8/24/23 11:48:00 AM,C,40.5
8/24/23 11:50:00 AM,C,40.5
8/24/23 11:52:00 AM,C,40.5
8/24/23 11:54:00 AM,C,41
8/24/23 11:56:00 AM,C,41
8/24/23 11:58:00 AM,C,41
8/24/23 12:00:00 PM,C,41.5
8/24/23 12:02:00 PM,C,41.5
8/24/23 12:04:00 PM,C,41.5
8/24/23 12:06:00 PM,C,42
8/24/23 12:08:00 PM,C,42
8/24/23 12:10:00 PM,C,42
8/24/23 12:12:00 PM,C,42
8/24/23 12:14:00 PM,C,40.5
8/24/23 12:16:00 PM,C,38.5
8/24/23 12:18:00 PM,C,36.5
8/24/23 12:20:00 PM,C,34.5
8/24/23 12:22:00 PM,C,33.5
8/24/23 12:24:00 PM,C,32.5
8/24/23 12:26:00 PM,C,32
8/24/23 12:28:00 PM,C,31.5
8/24/23 12:30:00 PM,C,31.5
8/24/23 12:32:00 PM,C,31.5
8/24/23 12:34:00 PM,C,33.5
8/24/23 12:36:00 PM,C,34
8/24/23 12:38:00 PM,C,34.5
8/24/23 12:40:00 PM,C,36
8/24/23 12:42:00 PM,C,37.5
8/24/23 12:44:00 PM,C,38.5
8/24/23 12:46:00 PM,C,39
8/24/23 12:48:00 PM,C,39
8/24/23 12:50:00 PM,C,39
8/24/23 12:52:00 PM,C,39
8/24/23 12:54:00 PM,C,39
8/24/23 12:56:00 PM,C,38.5
8/24/23 12:58:00 PM,C,39
8/24/23 1:00:00 PM,C,39
8/24/23 1:02:00 PM,C,39.5
8/24/23 1:04:00 PM,C,40
8/24/23 1:06:00 PM,C,40
8/24/23 1:08:00 PM,C,40.5
8/24/23 1:10:00 PM,C,41
8/24/23 1:12:00 PM,C,41.5
8/24/23 1:14:00 PM,C,42
8/24/23 1:16:00 PM,C,43
8/24/23 1:18:00 PM,C,43.5
8/24/23 1:20:00 PM,C,43.5
8/24/23 1:22:00 PM,C,44.5
8/24/23 1:24:00 PM,C,44.5
8/24/23 1:26:00 PM,C,43.5
8/24/23 1:28:00 PM,C,42.5
8/24/23 1:30:00 PM,C,42.5
8/24/23 1:32:00 PM,C,43
8/24/23 1:34:00 PM,C,44.5
8/24/23 1:36:00 PM,C,45
8/24/23 1:38:00 PM,C,46
8/24/23 1:40:00 PM,C,45
8/24/23 1:42:00 PM,C,45.5
8/24/23 1:44:00 PM,C,46.5
8/24/23 1:46:00 PM,C,47
8/24/23 1:48:00 PM,C,47
8/24/23 1:50:00 PM,C,46.5
8/24/23 1:52:00 PM,C,45.5
8/24/23 1:54:00 PM,C,46
8/24/23 1:56:00 PM,C,47.5
8/24/23 1:58:00 PM,C,48
8/24/23 2:00:00 PM,C,48
8/24/23 2:02:00 PM,C,48
8/24/23 2:04:00 PM,C,48
8/24/23 2:06:00 PM,C,48
8/24/23 2:08:00 PM,C,48
8/24/23 2:10:00 PM,C,47.5
8/24/23 2:12:00 PM,C,47
8/24/23 2:14:00 PM,C,47
8/24/23 2:16:00 PM,C,46.5
8/24/23 2:18:00 PM,C,47
8/24/23 2:20:00 PM,C,47.5
8/24/23 2:22:00 PM,C,47
8/24/23 2:24:00 PM,C,46.5
8/24/23 2:26:00 PM,C,46.5
8/24/23 2:28:00 PM,C,47
8/24/23 2:30:00 PM,C,45.5
8/24/23 2:32:00 PM,C,42
8/24/23 2:34:00 PM,C,40.5
8/24/23 2:36:00 PM,C,40.5
8/24/23 2:38:00 PM,C,42
8/24/23 2:40:00 PM,C,43.5
8/24/23 2:42:00 PM,C,45
8/24/23 2:44:00 PM,C,42.5
8/24/23 2:46:00 PM,C,40
8/24/23 2:48:00 PM,C,38.5
8/24/23 2:50:00 PM,C,40.5
8/24/23 2:52:00 PM,C,43.5
8/24/23 2:54:00 PM,C,44.5
8/24/23 2:56:00 PM,C,42
8/24/23 2:58:00 PM,C,39
8/24/23 3:00:00 PM,C,37
8/24/23 3:02:00 PM,C,37
8/24/23 3:04:00 PM,C,38.5
8/24/23 3:06:00 PM,C,41
8/24/23 3:08:00 PM,C,40
8/24/23 3:10:00 PM,C,39
8/24/23 3:12:00 PM,C,38.5
8/24/23 3:14:00 PM,C,37.5
8/24/23 3:16:00 PM,C,37
8/24/23 3:18:00 PM,C,39
8/24/23 3:20:00 PM,C,38.5
8/24/23 3:22:00 PM,C,37
8/24/23 3:24:00 PM,C,36.5
8/24/23 3:26:00 PM,C,35.5
8/24/23 3:28:00 PM,C,36
8/24/23 3:30:00 PM,C,38
8/24/23 3:32:00 PM,C,38
8/24/23 3:34:00 PM,C,39
8/24/23 3:36:00 PM,C,40
8/24/23 3:38:00 PM,C,38.5
8/24/23 3:40:00 PM,C,39
8/24/23 3:42:00 PM,C,40.5
8/24/23 3:44:00 PM,C,41.5
8/24/23 3:46:00 PM,C,43
8/24/23 3:48:00 PM,C,43.5
8/24/23 3:50:00 PM,C,44
8/24/23 3:52:00 PM,C,43.5
8/24/23 3:54:00 PM,C,41.5
8/24/23 3:56:00 PM,C,39.5
8/24/23 3:58:00 PM,C,40.5
8/24/23 4:00:00 PM,C,41.5
8/24/23 4:02:00 PM,C,41
8/24/23 4:04:00 PM,C,40.5
8/24/23 4:06:00 PM,C,40.5
8/24/23 4:08:00 PM,C,40
8/24/23 4:10:00 PM,C,39
8/24/23 4:12:00 PM,C,39.5
8/24/23 4:14:00 PM,C,39
8/24/23 4:16:00 PM,C,37.5
8/24/23 4:18:00 PM,C,35.5
8/24/23 4:20:00 PM,C,34.5
8/24/23 4:22:00 PM,C,34
8/24/23 4:24:00 PM,C,33.5
8/24/23 4:26:00 PM,C,33
8/24/23 4:28:00 PM,C,32.5
8/24/23 4:30:00 PM,C,32
8/24/23 4:32:00 PM,C,32
8/24/23 4:34:00 PM,C,31.5
8/24/23 4:36:00 PM,C,31.5
8/24/23 4:38:00 PM,C,31
8/24/23 4:40:00 PM,C,30.5
8/24/23 4:42:00 PM,C,30.5
8/24/23 4:44:00 PM,C,30
8/24/23 4:46:00 PM,C,30
8/24/23 4:48:00 PM,C,30
8/24/23 4:50:00 PM,C,30
8/24/23 4:52:00 PM,C,30
8/24/23 4:54:00 PM,C,30
8/24/23 4:56:00 PM,C,30
8/24/23 4:58:00 PM,C,30
8/24/23 5:00:00 PM,C,30
8/24/23 5:02:00 PM,C,30
8/24/23 5:04:00 PM,C,29.5
8/24/23 5:06:00 PM,C,29.5
8/24/23 5:08:00 PM,C,29.5
8/24/23 5:10:00 PM,C,29
8/24/23 5:12:00 PM,C,29
8/24/23 5:14:00 PM,C,29
8/24/23 5:16:00 PM,C,29
8/24/23 5:18:00 PM,C,29
8/24/23 5:20:00 PM,C,29.5
8/24/23 5:22:00 PM,C,29.5
8/24/23 5:24:00 PM,C,29.5
8/24/23 5:26:00 PM,C,29.5
8/24/23 5:28:00 PM,C,29
8/24/23 5:30:00 PM,C,29
8/24/23 5:32:00 PM,C,29
8/24/23 5:34:00 PM,C,29
8/24/23 5:36:00 PM,C,29
8/24/23 5:38:00 PM,C,29
8/24/23 5:40:00 PM,C,29
8/24/23 5:42:00 PM,C,29
8/24/23 5:44:00 PM,C,29
8/24/23 5:46:00 PM,C,29
8/24/23 5:48:00 PM,C,28.5
8/24/23 5:50:00 PM,C,28.5
8/24/23 5:52:00 PM,C,28.5
8/24/23 5:54:00 PM,C,28.5
8/24/23 5:56:00 PM,C,28
8/24/23 5:58:00 PM,C,28
8/24/23 6:00:00 PM,C,28
8/24/23 6:02:00 PM,C,28
8/24/23 6:04:00 PM,C,28
8/24/23 6:06:00 PM,C,28
8/24/23 6:08:00 PM,C,28
8/24/23 6:10:00 PM,C,28
8/24/23 6:12:00 PM,C,28
8/24/23 6:14:00 PM,C,28
8/24/23 6:16:00 PM,C,28
8/24/23 6:18:00 PM,C,27.5
8/24/23 6:20:00 PM,C,28
8/24/23 6:22:00 PM,C,28
8/24/23 6:24:00 PM,C,28
8/24/23 6:26:00 PM,C,28
8/24/23 6:28:00 PM,C,28
8/24/23 6:30:00 PM,C,28
8/24/23 6:32:00 PM,C,28
8/24/23 6:34:00 PM,C,28
8/24/23 6:36:00 PM,C,28
8/24/23 6:38:00 PM,C,28
8/24/23 6:40:00 PM,C,28
8/24/23 6:42:00 PM,C,28
8/24/23 6:44:00 PM,C,28
8/24/23 6:46:00 PM,C,28
8/24/23 6:48:00 PM,C,28
8/24/23 6:50:00 PM,C,28
8/24/23 6:52:00 PM,C,27.5
8/24/23 6:54:00 PM,C,27.5
8/24/23 6:56:00 PM,C,27.5
8/24/23 6:58:00 PM,C,27.5
8/24/23 7:00:00 PM,C,27.5
8/24/23 7:02:00 PM,C,27.5
8/24/23 7:04:00 PM,C,27.5
8/24/23 7:06:00 PM,C,27
8/24/23 7:08:00 PM,C,27
8/24/23 7:10:00 PM,C,27
8/24/23 7:12:00 PM,C,27
8/24/23 7:14:00 PM,C,27
8/24/23 7:16:00 PM,C,27
8/24/23 7:18:00 PM,C,27
8/24/23 7:20:00 PM,C,26.5
8/24/23 7:22:00 PM,C,26.5
8/24/23 7:24:00 PM,C,26.5
8/24/23 7:26:00 PM,C,26.5
8/24/23 7:28:00 PM,C,26.5
8/24/23 7:30:00 PM,C,26.5
8/24/23 7:32:00 PM,C,26.5
8/24/23 7:34:00 PM,C,26.5
8/24/23 7:36:00 PM,C,26.5
8/24/23 7:38:00 PM,C,26.5
8/24/23 7:40:00 PM,C,26
8/24/23 7:42:00 PM,C,26
8/24/23 7:44:00 PM,C,26
8/24/23 7:46:00 PM,C,26
8/24/23 7:48:00 PM,C,26
8/24/23 7:50:00 PM,C,26
8/24/23 7:52:00 PM,C,26
8/24/23 7:54:00 PM,C,26
8/24/23 7:56:00 PM,C,26
8/24/23 7:58:00 PM,C,26
8/24/23 8:00:00 PM,C,26
8/24/23 8:02:00 PM,C,26
8/24/23 8:04:00 PM,C,25.5
8/24/23 8:06:00 PM,C,25.5
8/24/23 8:08:00 PM,C,25.5
8/24/23 8:10:00 PM,C,25.5
8/24/23 8:12:00 PM,C,25.5
8/24/23 8:14:00 PM,C,25
8/24/23 8:16:00 PM,C,25
8/24/23 8:18:00 PM,C,25
8/24/23 8:20:00 PM,C,25
8/24/23 8:22:00 PM,C,25
8/24/23 8:24:00 PM,C,25
8/24/23 8:26:00 PM,C,25
8/24/23 8:28:00 PM,C,24.5
8/24/23 8:30:00 PM,C,24.5
8/24/23 8:32:00 PM,C,24.5
8/24/23 8:34:00 PM,C,24.5
8/24/23 8:36:00 PM,C,24.5
8/24/23 8:38:00 PM,C,24.5
8/24/23 8:40:00 PM,C,24.5
8/24/23 8:42:00 PM,C,24.5
8/24/23 8:44:00 PM,C,24.5
8/24/23 8:46:00 PM,C,24.5
8/24/23 8:48:00 PM,C,24.5
8/24/23 8:50:00 PM,C,24.5
8/24/23 8:52:00 PM,C,24
8/24/23 8:54:00 PM,C,24
8/24/23 8:56:00 PM,C,24
8/24/23 8:58:00 PM,C,24
8/24/23 9:00:00 PM,C,24
8/24/23 9:02:00 PM,C,24
8/24/23 9:04:00 PM,C,24
8/24/23 9:06:00 PM,C,24
8/24/23 9:08:00 PM,C,24
8/24/23 9:10:00 PM,C,24
8/24/23 9:12:00 PM,C,24
8/24/23 9:14:00 PM,C,24
8/24/23 9:16:00 PM,C,24
8/24/23 9:18:00 PM,C,24
8/24/23 9:20:00 PM,C,24
8/24/23 9:22:00 PM,C,24
8/24/23 9:24:00 PM,C,24
8/24/23 9:26:00 PM,C,24
8/24/23 9:28:00 PM,C,24
8/24/23 9:30:00 PM,C,24
8/24/23 9:32:00 PM,C,24
8/24/23 9:34:00 PM,C,24
8/24/23 9:36:00 PM,C,24
8/24/23 9:38:00 PM,C,24
8/24/23 9:40:00 PM,C,24
8/24/23 9:42:00 PM,C,24
8/24/23 9:44:00 PM,C,24
8/24/23 9:46:00 PM,C,24
8/24/23 9:48:00 PM,C,24
8/24/23 9:50:00 PM,C,24
8/24/23 9:52:00 PM,C,24
8/24/23 9:54:00 PM,C,24
8/24/23 9:56:00 PM,C,24
8/24/23 9:58:00 PM,C,24
8/24/23 10:00:00 PM,C,24
8/24/23 10:02:00 PM,C,24
8/24/23 10:04:00 PM,C,23.5
8/24/23 10:06:00 PM,C,23.5
8/24/23 10:08:00 PM,C,23.5
8/24/23 10:10:00 PM,C,23.5
8/24/23 10:12:00 PM,C,23
8/24/23 10:14:00 PM,C,23
8/24/23 10:16:00 PM,C,23
8/24/23 10:18:00 PM,C,23
8/24/23 10:20:00 PM,C,23
8/24/23 10:22:00 PM,C,23
8/24/23 10:24:00 PM,C,22.5
8/24/23 10:26:00 PM,C,22.5
8/24/23 10:28:00 PM,C,22.5
8/24/23 10:30:00 PM,C,22.5
8/24/23 10:32:00 PM,C,22.5
8/24/23 10:34:00 PM,C,22.5
8/24/23 10:36:00 PM,C,22.5
8/24/23 10:38:00 PM,C,22.5
8/24/23 10:40:00 PM,C,22.5
8/24/23 10:42:00 PM,C,22.5
8/24/23 10:44:00 PM,C,22.5
8/24/23 10:46:00 PM,C,22.5
8/24/23 10:48:00 PM,C,22
8/24/23 10:50:00 PM,C,22
8/24/23 10:52:00 PM,C,22
8/24/23 10:54:00 PM,C,22
8/24/23 10:56:00 PM,C,22
8/24/23 10:58:00 PM,C,22
8/24/23 11:00:00 PM,C,22
8/24/23 11:02:00 PM,C,22
8/24/23 11:04:00 PM,C,21.5
8/24/23 11:06:00 PM,C,21.5
8/24/23 11:08:00 PM,C,21.5
8/24/23 11:10:00 PM,C,21.5
8/24/23 11:12:00 PM,C,22
8/24/23 11:14:00 PM,C,21.5
8/24/23 11:16:00 PM,C,21.5
8/24/23 11:18:00 PM,C,21.5
8/24/23 11:20:00 PM,C,21.5
8/24/23 11:22:00 PM,C,21.5
8/24/23 11:24:00 PM,C,21.5
8/24/23 11:26:00 PM,C,21.5
8/24/23 11:28:00 PM,C,21
8/24/23 11:30:00 PM,C,21
8/24/23 11:32:00 PM,C,21
8/24/23 11:34:00 PM,C,21
8/24/23 11:36:00 PM,C,21.5
8/24/23 11:38:00 PM,C,21.5
8/24/23 11:40:00 PM,C,21.5
8/24/23 11:42:00 PM,C,21.5
8/24/23 11:44:00 PM,C,21.5
8/24/23 11:46:00 PM,C,21.5
8/24/23 11:48:00 PM,C,21.5
8/24/23 11:50:00 PM,C,21.5
8/24/23 11:52:00 PM,C,21.5
8/24/23 11:54:00 PM,C,21.5
8/24/23 11:56:00 PM,C,21.5
8/24/23 11:58:00 PM,C,21.5
8/25/23 12:00:00 AM,C,21
8/25/23 12:02:00 AM,C,21
8/25/23 12:04:00 AM,C,21
8/25/23 12:06:00 AM,C,21
8/25/23 12:08:00 AM,C,21
8/25/23 12:10:00 AM,C,21
8/25/23 12:12:00 AM,C,21
8/25/23 12:14:00 AM,C,21
8/25/23 12:16:00 AM,C,21
8/25/23 12:18:00 AM,C,21
8/25/23 12:20:00 AM,C,21
8/25/23 12:22:00 AM,C,21
8/25/23 12:24:00 AM,C,21
8/25/23 12:26:00 AM,C,21
8/25/23 12:28:00 AM,C,21
8/25/23 12:30:00 AM,C,21
8/25/23 12:32:00 AM,C,21
8/25/23 12:34:00 AM,C,21
8/25/23 12:36:00 AM,C,21
8/25/23 12:38:00 AM,C,21
8/25/23 12:40:00 AM,C,21
8/25/23 12:42:00 AM,C,21
8/25/23 12:44:00 AM,C,21
8/25/23 12:46:00 AM,C,21
8/25/23 12:48:00 AM,C,21
8/25/23 12:50:00 AM,C,21
8/25/23 12:52:00 AM,C,21
8/25/23 12:54:00 AM,C,21
8/25/23 12:56:00 AM,C,21
8/25/23 12:58:00 AM,C,21
8/25/23 1:00:00 AM,C,21
8/25/23 1:02:00 AM,C,21
8/25/23 1:04:00 AM,C,21
8/25/23 1:06:00 AM,C,20.5
8/25/23 1:08:00 AM,C,20.5
8/25/23 1:10:00 AM,C,20.5
8/25/23 1:12:00 AM,C,20.5
8/25/23 1:14:00 AM,C,20.5
8/25/23 1:16:00 AM,C,20.5
8/25/23 1:18:00 AM,C,20.5
8/25/23 1:20:00 AM,C,20.5
8/25/23 1:22:00 AM,C,20.5
8/25/23 1:24:00 AM,C,20.5
8/25/23 1:26:00 AM,C,20.5
8/25/23 1:28:00 AM,C,20
8/25/23 1:30:00 AM,C,20
8/25/23 1:32:00 AM,C,20
8/25/23 1:34:00 AM,C,20
8/25/23 1:36:00 AM,C,20
8/25/23 1:38:00 AM,C,20
8/25/23 1:40:00 AM,C,20
8/25/23 1:42:00 AM,C,20
8/25/23 1:44:00 AM,C,20
8/25/23 1:46:00 AM,C,20
8/25/23 1:48:00 AM,C,20
8/25/23 1:50:00 AM,C,20
8/25/23 1:52:00 AM,C,20
8/25/23 1:54:00 AM,C,20
8/25/23 1:56:00 AM,C,20
8/25/23 1:58:00 AM,C,20
8/25/23 2:00:00 AM,C,20
8/25/23 2:02:00 AM,C,20
8/25/23 2:04:00 AM,C,20
8/25/23 2:06:00 AM,C,20
8/25/23 2:08:00 AM,C,20
8/25/23 2:10:00 AM,C,20
8/25/23 2:12:00 AM,C,20
8/25/23 2:14:00 AM,C,20
8/25/23 2:16:00 AM,C,20
8/25/23 2:18:00 AM,C,20
8/25/23 2:20:00 AM,C,20
8/25/23 2:22:00 AM,C,20
8/25/23 2:24:00 AM,C,20
8/25/23 2:26:00 AM,C,20
8/25/23 2:28:00 AM,C,20
8/25/23 2:30:00 AM,C,20
8/25/23 2:32:00 AM,C,20
8/25/23 2:34:00 AM,C,20
8/25/23 2:36:00 AM,C,20
8/25/23 2:38:00 AM,C,19.5
8/25/23 2:40:00 AM,C,19.5
8/25/23 2:42:00 AM,C,19.5
8/25/23 2:44:00 AM,C,19.5
8/25/23 2:46:00 AM,C,19.5
8/25/23 2:48:00 AM,C,19
8/25/23 2:50:00 AM,C,19
8/25/23 2:52:00 AM,C,19
8/25/23 2:54:00 AM,C,19
8/25/23 2:56:00 AM,C,19
8/25/23 2:58:00 AM,C,19
8/25/23 3:00:00 AM,C,19
8/25/23 3:02:00 AM,C,19
8/25/23 3:04:00 AM,C,18.5
8/25/23 3:06:00 AM,C,18.5
8/25/23 3:08:00 AM,C,18.5
8/25/23 3:10:00 AM,C,18.5
8/25/23 3:12:00 AM,C,18.5
8/25/23 3:14:00 AM,C,18.5
8/25/23 3:16:00 AM,C,18
8/25/23 3:18:00 AM,C,18
8/25/23 3:20:00 AM,C,18
8/25/23 3:22:00 AM,C,18
8/25/23 3:24:00 AM,C,18
8/25/23 3:26:00 AM,C,18
8/25/23 3:28:00 AM,C,18
8/25/23 3:30:00 AM,C,18
8/25/23 3:32:00 AM,C,18.5
8/25/23 3:34:00 AM,C,18.5
8/25/23 3:36:00 AM,C,18.5
8/25/23 3:38:00 AM,C,18.5
8/25/23 3:40:00 AM,C,18
8/25/23 3:42:00 AM,C,18
8/25/23 3:44:00 AM,C,18
8/25/23 3:46:00 AM,C,17.5
8/25/23 3:48:00 AM,C,17.5
8/25/23 3:50:00 AM,C,17.5
8/25/23 3:52:00 AM,C,17.5
8/25/23 3:54:00 AM,C,17.5
8/25/23 3:56:00 AM,C,17.5
8/25/23 3:58:00 AM,C,17
8/25/23 4:00:00 AM,C,17
8/25/23 4:02:00 AM,C,17
8/25/23 4:04:00 AM,C,17.5
8/25/23 4:06:00 AM,C,17.5
8/25/23 4:08:00 AM,C,17.5
8/25/23 4:10:00 AM,C,17.5
8/25/23 4:12:00 AM,C,17
8/25/23 4:14:00 AM,C,17
8/25/23 4:16:00 AM,C,17
8/25/23 4:18:00 AM,C,17
8/25/23 4:20:00 AM,C,17.5
8/25/23 4:22:00 AM,C,17.5
8/25/23 4:24:00 AM,C,17.5
8/25/23 4:26:00 AM,C,17
8/25/23 4:28:00 AM,C,17
8/25/23 4:30:00 AM,C,17
8/25/23 4:32:00 AM,C,17
8/25/23 4:34:00 AM,C,17
8/25/23 4:36:00 AM,C,16.5
8/25/23 4:38:00 AM,C,16.5
8/25/23 4:40:00 AM,C,16.5
8/25/23 4:42:00 AM,C,16.5
8/25/23 4:44:00 AM,C,16.5
8/25/23 4:46:00 AM,C,16
8/25/23 4:48:00 AM,C,16
8/25/23 4:50:00 AM,C,16.5
8/25/23 4:52:00 AM,C,16.5
8/25/23 4:54:00 AM,C,16.5
8/25/23 4:56:00 AM,C,16.5
8/25/23 4:58:00 AM,C,16.5
8/25/23 5:00:00 AM,C,16.5
8/25/23 5:02:00 AM,C,16.5
8/25/23 5:04:00 AM,C,16.5
8/25/23 5:06:00 AM,C,17
8/25/23 5:08:00 AM,C,17
8/25/23 5:10:00 AM,C,17
